Date;Event;Categories;Sites;Description
12/08/2016 12:00;Festival Aucard de Tours du 12/08 au 14/08;Evenement;Pont de Fil;Festival Aucard de Tours du 12/08 au 14/08
18/09/2016 12:00;10 et 20km de Tours;Evenement;Pont Wilson;10 et 20km de Tours
08/10/2016 12:00;Festival La Chaudière;Evenement;Pont de Fil;Festival La Chaudière
02/04/2017 12:00;Sound system;Evenement;Pont de Fil;Sound system
03/09/2017 12:00;Braderie;Evenement;Passerelle Fournier;Braderie
07/10/2017 12:00;Festival quartier libre;Evenement;Pont de Fil;Festival quartier libre
09/09/2018 00:00;Vélotour 2018;Evenement;Pont Sanitas EST, Pont Sanitas OUEST, Pont Sanitas TOTAL, Pont Tramway;
06/10/2019 00:00;Vélotour 2019;Evenement;Pont de Fil, Pont Wilson, Pont Wilson Est, Pont Wilson Ouest;
01/07/2021 00:00;Tour de France;Evenement;Afficheur Pont de Fil, Pont de Fil, Pont Mirabeau TOTAL, Pont Wilson;
10/10/2021 00:00;Vélotour 2021;Evenement;Afficheur Pont de Fil, Pont de Fil, Pont Wilson, Pont Wilson Est, Pont Wilson Ouest, Rue de Buffon;
15/05/2022 00:00;Challenge du Centre;Evenement;Cher à Vélo - St Avertin, Pont d'Arcole #2;428 participants en route
07/06/2022 00:00;Festival Aucard de Tours #début;Evenement;Pont Saint Sauveur EST, Pont Saint Sauveur OUEST, Pont Saint Sauveur TOTAL;
11/06/2022 00:00;Festival Aucard de Tours #fin;Evenement;Pont Saint Sauveur EST, Pont Saint Sauveur OUEST, Pont Saint Sauveur TOTAL;
26/06/2022 00:00;Festival International des poivres;Evenement;ObservaLoire - Rochecorbon;
06/07/2022 00:00;Pb Wilson - Distinction paires de boucles;;Pont Wilson;Modification d'un paramètre du capteur Zelt pour permettre d'avoir la distinction des paires de boucles A et B
07/07/2022 00:00;Travaux aménagement Vélorue #début;Evenement;Rue d'Entraigues;
07/07/2022 00:00;Pb Wilson - Détection du signal boucles 1 & 2;;Pont Wilson;Modification d'un paramètre pour imposer la détection du signal aussi bien sur les boucles 1 que les boucles 2
09/07/2022 00:00;Balade des lucioles 2022;Evenement;Afficheur Pont de Fil, Pont de Fil, Pont Wilson, Pont Wilson Est, Pont Wilson Ouest;
12/07/2022 00:00;Pb Wilson - Critère sélectif;;Pont Wilson;Application d'un critère sélectif qui implique une moins bonne détection des groupes de vélos. 2 vélos imbriqués = la roue avant du second vélo passe au même moment que la roue arrière du premier vélo au-dessus des boucles.
13/07/2022 00:00;Pb Wilson - Suppression de la détection du signal boucles 1 & 2;;Pont Wilson;
25/07/2022 00:00;Travaux St Sauveur #début;;Pont Saint Sauveur EST, Pont Saint Sauveur OUEST, Pont Saint Sauveur TOTAL;
25/07/2022 00:00;Pb Wilson - Filtrage 60 Hz;;Pont Wilson;Modification d'un paramètre pour filtrer la fréquence 60Hz
26/08/2022 00:00;Travaux St Sauveur #fin;;Pont Saint Sauveur EST, Pont Saint Sauveur OUEST, Pont Saint Sauveur TOTAL;Réouverture de la circulation routière
25/09/2022 00:00;10 & 20km de Tours;Evenement;Afficheur Pont de Fil, Bld Charles de Gaulle, Boulevard Heurteloup, Cher à Vélo - St Avertin, ObservaLoire - Rochecorbon, Passerelle Ile Balzac, Point 0 #2, Pont d'Arcole #1, Pont d'Arcole #2, Pont de Fil, Pont Mirabeau EST, Pont Mirabeau OUEST, Pont Mirabeau TOTAL, Pont Napoléon EST, Pont Napoléon OUEST, Pont Napoléon TOTAL, Pont Saint Sauveur EST, Pont Saint Sauveur OUEST, Pont Saint Sauveur TOTAL, Pont Sanitas EST, Pont Sanitas OUEST, Pont Sanitas TOTAL, Pont Tramway, Pont Wilson, Pont Wilson Est, Pont Wilson Ouest, Quai de la Loire, Rue d'Entraigues, Rue de Buffon, Rue Edouard Vaillant;
27/09/2022 00:00;Voie coupée à la circulation;;Pont Wilson, Pont Wilson Ouest;Intervention de la propreté urbaine assisté de la régie voirie
09/10/2022 00:00;Vélotour 2022;Evenement;Passerelle Ile Balzac, Pont Sanitas EST, Pont Sanitas OUEST, Pont Sanitas TOTAL;
09/10/2022 00:00;Tours en selle;Evenement;Cher à Vélo - St Avertin;
31/10/2022 00:00;Début Travaux Buffon;;Rue de Buffon;
13/11/2022 00:00;Cyclo-cross de Montlouis-sur-Loire (Route);Evenement;Cher à Vélo - St Avertin;
24/01/2023 00:00;Nettoyage caniveaux;;Pont Wilson Est, Pont Wilson Ouest;Nettoyage des caniveaux avec interdiction de circulation des vélos du 24 au 27, travaux possiblement plus courts
02/02/2023 00:00;Fuite de gaz;;Afficheur Pont de Fil, Pont de Fil;Fuite de gaz lors de travaux, quartier bouclé d'environ 8h30 à 10h30
05/02/2023 00:00;TMAT 2023 (Tours - Montlouis - Amboise - Tours);Evenement;Cher à Vélo - St Avertin;
09/03/2023 00:00;Fin travaux et remise en service;;Rue de Buffon;
19/03/2023 00:00;UCT BRE 100;Evenement;Cher à Vélo - St Avertin;
11/04/2023 00:00;Début intervention;;Pont Wilson Est;la voie Est du pont Wilson sera fermée aux cyclistes et aux piétons pour nettoyage des caniveaux et réalignement des pierres du  parapet à partir du 11 avril pour 7 jours.
24/04/2023 00:00;Travaux Point 0 #début;;Point 0 #2;
